,Name,Menu_Item,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,Overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
0,Donato's taco shop,California,1/18/2016,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,,6.49,3.0,,,,,,3.0,5.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,3.8,,Scott,good fries: 4/5,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oscar's Mexican food,California,1/24/2016,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,,5.45,3.5,,,,,,2.0,3.5,2.5,2.5,2.0,4.0,3.5,2.5,5.0,3.0,,Scott,Fries: 3/5; too little meat,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oscar's Mexican food,Carnitas,1/24/2016,,,,,,,4.85,1.5,,,,,,3.0,2.0,2.5,3.0,4.5,4.0,3.0,3.0,5.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oscar's Mexican food,Carne Asada,1/24/2016,,,,,,,5.25,2.0,,,,,,3.0,2.0,3.5,3.0,4.0,5.0,4.0,4.0,5.0,3.75,,Ricardo,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pollos Maria,California,1/27/2016,Carlsbad,3055 Harding St,http://pollosmaria.com/,4.0,3.8,x,6.59,4.0,,,,,,4.0,5.0,4.0,3.5,4.5,5.0,2.5,4.5,4.0,4.2,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pollos Maria,Combo Chicken,1/28/2016,,,,,,,6.99,4.0,,,,,,3.0,4.0,5.0,3.5,2.5,2.5,2.5,4.0,1.0,3.2,,Emily,,,,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,
6,Nico's Taco Shop,California,1/30/2016,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3.0,2.9,,7.19,1.5,,,,,,2.0,3.0,3.0,2.0,2.5,2.5,,2.0,3.0,2.6,,Scott,not fries. big potatoes,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nico's Taco Shop,Carnitas,1/30/2016,,,,,,,6.99,4.0,,,,,,2.5,3.0,3.0,2.5,3.0,3.5,,2.5,3.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Los Primos Mexican Food,Monster California,2/1/2016,UTC,7770 Regents Rd,http://www.primosmex.com/,3.0,3.7,x,9.25,3.5,,,,,,2.0,4.5,4.5,3.5,1.5,3.0,3.5,4.0,2.0,3.9,,Scott,this tasted really bad leftover. not included in rating,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JV's Mexican Food,Carne Asada,2/6/2016,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4.0,4.1,,6.25,3.5,,,,,,2.5,1.5,1.5,3.0,4.5,3.0,1.5,2.0,4.5,2.0,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
