,Name,Menu_Item,Cost
0,Albertacos,California,5.7
1,Albertacos,Carne Asada,5.25
2,"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,4.59
3,Burrito Box,Steak With Guacamole,11.5
4,Burrito Factory,Steak Everything,7.35
5,Burros and Fries,California,7.19
6,Burros and Fries,Carne Asada,6.89
7,Burros and Fries,Shrimp California,6.99
8,Caliente Mexican Food,California,6.47
9,Caliente Mexican Food,Carne Asada,5.56
10,Caliente Mexican Food,Fried Fish,5.56
11,California Burrito Company,California,5.5
12,California Burrito Company,Dave'S California,6.5
13,California Burrito Company,Fajitas,6.5
14,California Burritos,California (Only Cheese),6.25
15,California Burritos,California Everything,6.95
16,California Burritos,Carne Asada Everything,6.25
17,California Burritos,Carnitas,5.5
18,California Burritos,Chile Relleno And Carnitas,6.5
19,California Burritos,Surf & Turf,7.0
20,California Burritos,California Everything,6.5
21,California Burritos,California Everything Mini,4.75
22,California Burritos,Surf & Turf,6.75
23,Cancun Mexican & Seafood,Adobada,6.45
24,Cancun Mexican & Seafood,California,6.99
25,Cancun Mexican & Seafood,Machaca,5.99
26,Carmen's Mexican Food,Adobada,6.5
27,Carmen's Mexican Food,Carne Asada,6.5
28,Chili Peppers,Surf & Turf,9.43
29,Chipotle,Carnitas,7.15
30,Chipotle,Custom,7.0
31,Colima's Mexican Food,Colimas Burrito,8.25
32,Colima's Mexican Food,Bandido,6.49
33,Colima's Mexican Food,Hawaiian,6.29
34,Cortez Mexican Food,California,6.25
35,Cotixan,California,6.9
36,Cotixan,California,7.19
37,Don Carlos Taco Shop,California,7.75
38,Donato's taco shop,Al Pastor,5.99
39,Donato's taco shop,Carne Asada,5.99
40,Donato's taco shop,California,6.49
41,El Cuervo,California,6.95
42,El Cuervo,Pollo Adobado,5.95
43,El Dorado Mexican Food,California,6.94
44,El Dorado Mexican Food,California,7.4
45,El Dorado Mexican Food,Super,6.94
46,El Indio,California,7.84
47,El Nopalito,Especial,4.87
48,El Nopalito,Ranchero Steak,4.87
49,El Pollo Loco,Chicken Avocado,5.99
50,El Portal Fresh Mexican Grill,Carnitas,6.7
51,El Portal Fresh Mexican Grill,Mahi,7.35
52,El Pueblo Mexican Food,California,4.99
53,El Rey Moro,California Surf,9.19
54,El Rey Moro,Hashbrown,6.47
55,El Torrito Foods,Adobada,3.99
56,El Torrito Foods,Asada,5.49
57,El Zarape,Azteca,6.25
58,El Zarape,California,6.25
59,El Zarape,California Chicken,6.25
60,El Zarape,Carne Asada Supreme,6.25
61,El Zarape,Lobster,9.5
62,El Zarape,Surf And Turf,7.0
63,Famoso Mexican Street Food,Cali Diablo,10.5
64,Filiberto's,Adobada,6.25
65,Filiberto's,California,6.25
66,Gloria's Taco Shop,Cabeza,5.49
67,Gloria's Taco Shop,California,5.65
68,Goody's,Carne Asada,6.25
69,Goody's,Custom,7.25
70,Goody's,Custom,8.0
71,Graciela's Taco Shop,Adobada,5.99
72,Graciela's Taco Shop,Barbacoa,5.99
73,Humbertos,Pollo California,6.0
74,JV's Mexican Food,Carne Asada,6.25
75,JV's Mexican Food,Surf & Turf,9.5
76,Jorge's Mexicatessen,California,5.95
77,Jorge's Mexicatessen,Chimichanga Beef,5.5
78,Jose's Taco,California,6.1
79,Juanita's Taco Shop,Arizona,5.55
80,Juanita's Taco Shop,California,5.55
81,Karina's Taco Shop,Bomb,7.99
82,Karina's Taco Shop ,California,6.99
83,King Burrito,Adobaa,4.99
84,King Burrito,California,5.29
85,Kotija Jr,California,6.99
86,Kotija Jr,Steak Fajitas,7.1
87,Kotija Jr,Fish,6.5
88,La Morena Taco Shop and Seafood,California,6.35
89,La Perla Cocina,Addiction,7.99
