rank,name,position,team,salary,season
1,Shaquille O'Neal,C,Los Angeles Lakers,17142000,2000
2,Kevin Garnett,PF,Minnesota Timberwolves,16806000,2000
3,Alonzo Mourning,C,Miami Heat,15004000,2000
4,Juwan Howard,PF,Washington Wizards,15000000,2000
5,Scottie Pippen,SF,Portland Trail Blazers,14795000,2000
6,Karl Malone,PF,Utah Jazz,14000000,2000
7,Larry Johnson,F,New York Knicks,11910000,2000
8,Gary Payton,PG,Seattle SuperSonics,11020000,2000
9,Rasheed Wallace,PF,Portland Trail Blazers,10800000,2000
10,Shawn Kemp,C,Cleveland Cavaliers,10780000,2000
11,Damon Stoudamire,PG,Portland Trail Blazers,10125000,2000
12,Antonio McDyess,PF,Denver Nuggets,9900000,2000
13,Antoine Walker,PF,Boston Celtics,9000000,2000
14,Shareef Abdur-Rahim,PF,Vancouver Grizzlies,9000000,2000
15,Allen Iverson,SG,Philadelphia 76ers,9000000,2000
16,Vin Baker,PF,Seattle SuperSonics,9000000,2000
17,Anfernee Hardaway,SF,Phoenix Suns,9000000,2000
18,Ray Allen,SG,Milwaukee Bucks,9000000,2000
19,Kobe Bryant,SF,Los Angeles Lakers,9000000,2000
20,Stephon Marbury,PG,New Jersey Nets,9000000,2000
21,Vlade Divac,C,Sacramento Kings,8837000,2000
22,Bryant Reeves,C,Vancouver Grizzlies,8666000,2000
23,Tom Gugliotta,PF,Phoenix Suns,8558000,2000
24,Nick Van Exel,PG,Denver Nuggets,8354000,2000
25,Elden Campbell,C,Charlotte Hornets,7975000,2000
26,Terrell Brandon,PG,Minnesota Timberwolves,7400000,2000
27,Derrick Coleman,PF,Charlotte Hornets,7370000,2000
28,Glenn Robinson,SF,Milwaukee Bucks,7250000,2000
29,Steve Smith,SG,Portland Trail Blazers,7200000,2000
30,Kerry Kittles,SG,New Jersey Nets,7166000,2000
31,Chris Dudley,C,New York Knicks,7100000,2000
32,Theo Ratliff,C,Philadelphia 76ers,7031000,2000
33,Matt Geiger,C,Philadelphia 76ers,6889000,2000
34,Jason Kidd,PG,Phoenix Suns,6858000,2000
35,Kenny Anderson,PG,Boston Celtics,6680000,2000
36,Tyrone Hill,PF,Philadelphia 76ers,6422000,2000
37,Clifford Robinson,PF,Phoenix Suns,6125000,2000
38,Jamal Mashburn,SF,Miami Heat,5600000,2000
39,Steve Nash,PG,Dallas Mavericks,5500000,2000
40,Alan Henderson,PF,Atlanta Hawks,5318000,2000
41,Donyell Marshall,PF,Golden State Warriors,5250000,2000
42,Marcus Camby,C,New York Knicks,5250000,2000
43,Greg Ostertag,C,Utah Jazz,5200000,2000
44,Luc Longley,C,Phoenix Suns,5175000,2000
45,P.J. Brown,PF,Miami Heat,5124000,2000
46,Jermaine O'Neal,C,Portland Trail Blazers,5075000,2000
47,Erick Dampier,C,Golden State Warriors,4988000,2000
48,Wesley Person,SF,Cleveland Cavaliers,4900000,2000
49,Isaac Austin,C,Washington Wizards,4819000,2000
50,Loy Vaught,F,Detroit Pistons,4810000,2000
51,Robert Horry,PF,Los Angeles Lakers,4800000,2000
52,Derrick McKey,F,Indiana Pacers,4800000,2000
53,Jim McIlvaine,C,New Jersey Nets,4800000,2000
54,Jerry Stackhouse,SF,Detroit Pistons,4781000,2000
55,Charlie Ward,PG,New York Knicks,4540000,2000
56,Dale Davis,PF,Indiana Pacers,4490000,2000
57,Lorenzen Wright,PF,Atlanta Hawks,4400000,2000
58,Mookie Blaylock,G,Golden State Warriors,4200000,2000
59,Chris Mills,SF,Golden State Warriors,4200000,2000
60,Chris Childs,G,New York Knicks,4160000,2000
61,Darrel Armstrong,PG,Orlando Magic,4125000,2000
62,Bryon Russell,SF,Utah Jazz,4000000,2000
63,Brent Barry,SG,Seattle SuperSonics,3960000,2000
64,Jason Caffey,F,Golden State Warriors,3937000,2000
65,Vitaly Potapenko,C,Boston Celtics,3810000,2000
66,Bob Sura,PG,Cleveland Cavaliers,3760000,2000
67,Walt Williams,F,Houston Rockets,3750000,2000
68,Scott Williams,C,Milwaukee Bucks,3750000,2000
69,Sam Cassell,PG,Milwaukee Bucks,3500000,2000
70,Michael Olowokandi,C,Los Angeles Clippers,3456000,2000
71,Elton Brand,PF,Chicago Bulls,3375000,2000
72,Eric Williams,PF,Boston Celtics,3336000,2000
73,Travis Best,PG,Indiana Pacers,3250000,2000
74,Michael Stewart,PF,Toronto Raptors,3200000,2000
75,Derek Strong,F,Orlando Magic,3159000,2000
76,Mike Bibby,PG,Vancouver Grizzlies,3092000,2000
77,Rick Fox,SF,Los Angeles Lakers,3033000,2000
78,Steve Francis,PG,Houston Rockets,3020000,2000
79,Derek Fisher,PG,Los Angeles Lakers,3000000,2000
80,Lamond Murray,SF,Cleveland Cavaliers,3000000,2000
81,Eric Snow,PG,Philadelphia 76ers,3000000,2000
82,Ervin Johnson,C,Milwaukee Bucks,2951000,2000
83,Brent Price,G,Vancouver Grizzlies,2944000,2000
84,Travis Knight,C,Los Angeles Lakers,2800000,2000
85,Raef LaFrentz,C,Denver Nuggets,2777000,2000
86,Tracy Murray,SF,Washington Wizards,2720000,2000
87,Tyrone Nesby,F,Los Angeles Clippers,2716000,2000
88,Baron Davis,PG,Charlotte Hornets,2712000,2000
89,Vonteego Cummings,PG,Golden State Warriors,2600000,2000
90,David Wesley,SG,Charlotte Hornets,2520000,2000
91,Dean Garrett,C,Minnesota Timberwolves,2520000,2000
92,Antawn Jamison,PF,Golden State Warriors,2503000,2000
93,Walter McCarty,PF,Boston Celtics,2500000,2000
94,Anthony Peeler,SG,Minnesota Timberwolves,2495000,2000
95,Lamar Odom,PF,Los Angeles Clippers,2445000,2000
96,Cedric E. Henderson,F,Cleveland Cavaliers,2400000,2000
97,Lawrence Funderburke,PF,Sacramento Kings,2400000,2000
98,Lindsey Hunter,SG,Detroit Pistons,2350000,2000
99,Malik Rose,PF,San Antonio Spurs,2285000,2000
100,Vince Carter,G,Toronto Raptors,2267000,2000
101,Jonathan Bender,SF,Indiana Pacers,2214000,2000
102,Dell Curry,G,Toronto Raptors,2100000,2000
103,Robert Traylor,PF,Milwaukee Bucks,2059000,2000
104,Othella Harrington,PF,Vancouver Grizzlies,2025000,2000
105,Wally Szczerbiak,SG,Minnesota Timberwolves,2011000,2000
106,Eric Montross,C,Detroit Pistons,2000000,2000
107,Eric Piatkowski,SG,Los Angeles Clippers,2000000,2000
108,Rodney Rogers,SF,Phoenix Suns,2000000,2000
109,Jamie Feick,F,New Jersey Nets,2000000,2000
110,John Wallace,SF,New York Knicks,2000000,2000
111,Terry Porter,G,San Antonio Spurs,2000000,2000
112,Shandon Anderson,SF,Houston Rockets,2000000,2000
113,Calbert Cheaney,SG,Boston Celtics,2000000,2000
114,Michael Curry,SF,Detroit Pistons,2000000,2000
115,George Lynch,SF,Philadelphia 76ers,2000000,2000
116,Grant Long,F,Vancouver Grizzlies,2000000,2000
117,Chris Crawford,SF,Atlanta Hawks,2000000,2000
118,Steve Kerr,G,San Antonio Spurs,1968000,2000
119,Vinny Del Negro,G,Milwaukee Bucks,1925000,2000
120,Sean Rooks,C,Dallas Mavericks,1920000,2000
121,Lucious Harris,SG,New Jersey Nets,1920000,2000
122,Jason Williams,PG,Sacramento Kings,1879000,2000
123,Richard Hamilton,SG,Washington Wizards,1836000,2000
124,Larry Hughes,SG,Philadelphia 76ers,1722000,2000
125,Andre Miller,PG,Cleveland Cavaliers,1682000,2000
126,Dirk Nowitzki,F,Dallas Mavericks,1583000,2000
127,Shawn Marion,SG,Phoenix Suns,1546000,2000
128,Paul Pierce,SF,Boston Celtics,1503000,2000
129,Jason Terry,G,Atlanta Hawks,1468000,2000
130,Bonzi Wells,SG,Portland Trail Blazers,1428000,2000
131,Trajan Langdon,SG,Cleveland Cavaliers,1394000,2000
132,Aleksandar Radojevic,C,Toronto Raptors,1325000,2000
133,Keon Clark,PF,Denver Nuggets,1289000,2000
134,Corey Maggette,SF,Orlando Magic,1259000,2000
135,Michael Dickerson,G,Vancouver Grizzlies,1224000,2000
136,Will Avery,G,Minnesota Timberwolves,1196000,2000
137,Matt Harpring,SF,Orlando Magic,1163000,2000
138,Eldridge Recasner,G,Charlotte Hornets,1100000,2000
139,Metta World Peace,SF,Chicago Bulls,1079000,2000
140,Rasho Nesterovic,C,Minnesota Timberwolves,1050000,2000
141,Cal Bowdler,F,Atlanta Hawks,1025000,2000
142,James Posey,SF,Denver Nuggets,974000,2000
143,Pat Garrity,PF,Orlando Magic,952000,2000
144,Quincy Lewis,SG,Utah Jazz,930000,2000
145,Roshown McLeod,F,Atlanta Hawks,914000,2000
146,Dion Glover,SG,Atlanta Hawks,893000,2000
147,Ricky Davis,SG,Charlotte Hornets,878000,2000
148,Greg Foster,C,Seattle SuperSonics,857000,2000
149,Jeff Foster,PF,Indiana Pacers,857000,2000
150,Brian Skinner,PF,Los Angeles Clippers,843000,2000
151,Kenny Thomas,PF,Houston Rockets,823000,2000
152,Devean George,SF,Los Angeles Lakers,790000,2000
153,Al Harrington,PF,Indiana Pacers,745000,2000
154,Tim James,F,Miami Heat,728000,2000
155,Jumaine Jones,SF,Philadelphia 76ers,684000,2000
156,Scott Padgett,PF,Utah Jazz,679000,2000
157,Rafer Alston,PG,Milwaukee Bucks,301000,2000
1,Kevin Garnett,PF,Minnesota Timberwolves,19600000,2001
2,Shaquille O'Neal,C,Los Angeles Lakers,19285000,2001
3,Alonzo Mourning,C,Miami Heat,16879000,2001
4,Juwan Howard,PF,Washington Wizards,16875000,2001
5,Hakeem Olajuwon,C,Houston Rockets,16685000,2001
6,Karl Malone,PF,Utah Jazz,15750000,2001
7,Dikembe Mutombo,C,Philadelphia 76ers,14422000,2001
8,Patrick Ewing,C,Seattle SuperSonics,14000000,2001
9,David Robinson,C,San Antonio Spurs,13196000,2001
10,Scottie Pippen,SF,Portland Trail Blazers,13151000,2001
11,Rasheed Wallace,PF,Portland Trail Blazers,12600000,2001
12,Larry Johnson,F,New York Knicks,12485000,2001
13,Gary Payton,PG,Seattle SuperSonics,12200000,2001
14,Tim Hardaway,G,Miami Heat,12000000,2001
15,Chris Webber,C,Sacramento Kings,12000000,2001
16,Shawn Kemp,C,Portland Trail Blazers,11720000,2001
17,Damon Stoudamire,PG,Portland Trail Blazers,11250000,2001
18,John Stockton,G,Utah Jazz,11000000,2001
19,Antonio McDyess,PF,Denver Nuggets,10800000,2001
20,Reggie Miller,SG,Indiana Pacers,10666000,2001
21,Arvydas Sabonis,C,Portland Trail Blazers,10636000,2001
22,Zydrunas Ilgauskas,C,Cleveland Cavaliers,10130000,2001
23,Anfernee Hardaway,SF,Phoenix Suns,10130000,2001
24,Stephon Marbury,PG,New Jersey Nets,10130000,2001
25,Antoine Walker,PF,Boston Celtics,10125000,2001
26,Shareef Abdur-Rahim,PF,Vancouver Grizzlies,10125000,2001
27,Allen Iverson,SG,Philadelphia 76ers,10125000,2001
28,Latrell Sprewell,SG,New York Knicks,10125000,2001
29,Vin Baker,PF,Seattle SuperSonics,10125000,2001
30,Ray Allen,SG,Milwaukee Bucks,10125000,2001
31,Kobe Bryant,SF,Los Angeles Lakers,10125000,2001
32,Bryant Reeves,C,Vancouver Grizzlies,10110000,2001
33,Tracy McGrady,SG,Orlando Magic,9658000,2001
34,Tim Duncan,C,San Antonio Spurs,9658000,2001
35,Jalen Rose,SG,Indiana Pacers,9658000,2001
36,Grant Hill,SF,Orlando Magic,9658000,2001
37,Vlade Divac,C,Sacramento Kings,9641000,2001
38,Tom Gugliotta,PF,Phoenix Suns,9336000,2001
39,Allan Houston,SG,New York Knicks,9000000,2001
40,Keith Van Horn,PF,New Jersey Nets,9000000,2001
41,Eddie Jones,SG,Miami Heat,8960000,2001
42,Brian Grant,PF,Miami Heat,8897000,2001
43,Tim Thomas,PF,Milwaukee Bucks,8507000,2001
44,Michael Finley,SG,Dallas Mavericks,8400000,2001
45,Shawn Bradley,C,Dallas Mavericks,8370000,2001
46,Terrell Brandon,PG,Minnesota Timberwolves,8325000,2001
47,Nick Van Exel,PG,Denver Nuggets,8184000,2001
48,Glenn Robinson,SF,Milwaukee Bucks,8120000,2001
49,Steve Smith,SG,Portland Trail Blazers,8100000,2001
50,Elden Campbell,C,Charlotte Hornets,8050000,2001
51,Derrick Coleman,PF,Charlotte Hornets,8040000,2001
52,Avery Johnson,PG,San Antonio Spurs,8000000,2001
53,Horace Grant,C,Los Angeles Lakers,7843000,2001
54,Theo Ratliff,C,Philadelphia 76ers,7800000,2001
55,Jason Kidd,PG,Phoenix Suns,7630000,2001
56,Glen Rice,SF,New York Knicks,7578000,2001
57,Kenny Anderson,PG,Boston Celtics,7520000,2001
58,Matt Geiger,C,Philadelphia 76ers,7515000,2001
59,Tyrone Hill,PF,Philadelphia 76ers,7415000,2001
60,Toni Kukoc,SF,Philadelphia 76ers,7167000,2001
61,Clifford Robinson,PF,Phoenix Suns,6890000,2001
62,Christian Laettner,PF,Washington Wizards,6625000,2001
63,Chris Dudley,C,Phoenix Suns,6200000,2001
64,Jamal Mashburn,SF,Charlotte Hornets,6200000,2001
