Midterm 1,Midterm 2,Mentored
28.0,20.0,False
28.5,35.0,False
23.5,13.5,False
24.5,22.5,True
28.5,35.5,True
22.5,28.0,True
24.0,22.5,False
29.0,36.0,True
19.5,20.0,False
19.5,20.0,True
29.0,29.5,False
23.5,16.0,True
33.5,40.5,False
23.0,31.5,True
25.0,35.0,True
35.0,46.0,False
23.0,30.0,True
27.0,31.5,False
31.0,43.5,False
20.0,14.0,False
26.0,34.5,True
34.5,49.0,False
36.5,49.5,False
15.5,11.5,True
21.0,17.0,False
22.0,20.5,False
25.0,27.0,True
30.0,33.0,True
38.0,46.0,False
29.5,42.5,True
28.0,27.25,True
18.5,15.5,True
29.5,41.0,False
33.0,34.5,False
28.0,21.0,True
17.0,23.0,False
32.5,42.5,False
28.0,22.0,False
29.5,48.0,False
29.0,31.5,False
30.0,14.5,True
36.5,42.5,False
32.0,37.5,True
22.5,31.0,False
30.0,33.5,False
32.0,43.5,False
28.0,38.0,False
27.5,33.0,True
28.0,35.0,False
23.5,32.5,False
28.0,35.5,False
25.0,24.0,False
27.0,42.5,True
23.5,25.0,False
34.5,37.5,False
30.5,25.0,False
28.5,24.5,False
33.0,36.0,False
27.5,31.0,True
32.0,47.0,False
9.5,8.5,True
32.0,31.5,True
29.5,33.0,True
30.0,38.5,True
18.5,6.0,False
34.5,47.0,False
31.0,41.0,False
27.5,35.5,False
31.5,45.0,True
35.0,30.0,False
36.0,22.0,False
23.5,21.75,False
28.0,29.0,False
26.5,24.0,False
25.5,26.5,True
22.0,18.5,True
35.5,37.5,False
30.0,32.0,False
29.5,27.5,False
24.5,25.5,True
24.5,24.5,True
28.0,33.0,False
39.0,37.0,False
26.5,22.0,False
34.0,46.5,False
34.0,45.5,True
37.5,38.0,False
14.0,10.5,False
33.0,38.0,True
32.5,27.5,True
24.0,31.5,True
17.5,9.5,True
35.0,42.5,False
26.0,35.0,True
36.0,34.5,False
36.0,43.0,True
31.0,39.5,False
39.5,47.5,False
36.5,45.0,False
30.0,30.0,False
31.5,46.0,False
14.0,14.0,False
34.5,48.5,False
31.5,44.5,False
31.0,45.5,True
18.0,14.0,False
31.0,33.0,False
27.0,35.0,True
30.5,36.5,False
31.0,37.0,False
31.5,43.5,True
29.5,39.5,False
34.0,39.0,True
27.5,30.0,False
29.0,37.0,False
13.0,9.0,False
15.0,13.0,False
23.5,18.5,False
36.0,36.0,False
33.5,37.0,False
12.0,9.0,False
15.0,16.5,True
19.5,21.5,False
29.0,33.0,True
17.0,5.5,False
34.0,42.0,False
35.5,36.5,False
29.5,27.5,False
13.0,22.5,True
24.5,28.0,True
23.0,24.5,True
31.0,35.0,True
33.5,33.0,False
37.5,42.5,False
19.5,24.5,True
26.5,23.5,False
38.0,45.0,False
30.5,36.5,False
23.5,17.5,True
23.5,26.5,True
27.0,23.5,True
31.0,30.0,True
28.0,30.0,True
22.5,23.0,False
13.5,9.5,True
28.5,31.5,False
34.5,46.0,False
26.0,37.0,True
19.0,25.5,True
31.0,44.0,False
24.5,21.0,True
26.5,24.0,False
10.0,5.5,False
24.5,28.0,False
36.0,42.5,False
33.5,39.0,False
23.5,19.0,False
25.0,21.0,False
27.5,40.0,False
30.5,43.5,False
30.5,34.0,False
28.0,21.5,False
30.0,22.0,True
13.0,9.5,True
29.5,35.0,True
31.5,40.5,False
31.5,47.5,False
16.5,6.0,False
40.0,43.5,False
26.0,34.5,False
32.0,44.0,False
32.5,34.5,False
26.5,30.5,False
33.0,30.0,False
31.5,36.5,False
