Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Second,5,5,8,Left-handed,Left leg in first,On your left side,Ants,0
Fourth,2,3,7,Right-handed,Left leg in first,On your left side,"Beetles, Centipedes, Scorpions",0
First,3,4,8,Right-handed,Right leg in first,On your back,Bird,0
Second,4,8,8,Right-handed,Right leg in first,On your back,Bird,0
Second,4,2,6,Right-handed,Right leg in first,On your right side,Bird,0
Second,5,4,7,Right-handed,Right leg in first,On your right side,Bird,0
Third,4,2,8,Right-handed,I don't know,On your right side,Bird,0
Fourth,4,4,4,Right-handed,Left leg in first,On your stomach,Brothers,0
First,3,3,7,Right-handed,I don't know,On your back,Cat,0
Third,2,2,7,Right-handed,Left leg in first,On your back,Cat,0
Second,10,2,7,Right-handed,Left leg in first,On your back,Cat,0
First,10,10,7.5,Right-handed,Left leg in first,On your back,Cat,0
Second,2,2,8,Right-handed,Left leg in first,On your back,Cat,0
First,2,3,8,Right-handed,Left leg in first,On your back,Cat,0
First,7,4,6,Right-handed,Right leg in first,On your back,Cat,0
Second,8,8,6,Right-handed,Right leg in first,On your back,Cat,0
Fourth,4,2,7,Right-handed,Right leg in first,On your back,Cat,0
Second,4,3,7,Right-handed,Right leg in first,On your back,Cat,0
Third,8,4,7,Right-handed,Right leg in first,On your back,Cat,0
First,5,5,7,Right-handed,Right leg in first,On your back,Cat,0
Fifth or above,7,5,8.5,Right-handed,Right leg in first,On your back,Cat,0
First,6,1,9,Right-handed,Right leg in first,On your back,Cat,0
Second,3,4,6,Right-handed,Left leg in first,On your left side,Cat,0
Third,6,8,6,Right-handed,Left leg in first,On your left side,Cat,0
Second,3,40,6,Right-handed,Left leg in first,On your left side,Cat,0
First,7,10,7,Right-handed,Left leg in first,On your left side,Cat,0
Third,4,3,7.5,Right-handed,Left leg in first,On your left side,Cat,0
First,4,3,8,Right-handed,Left leg in first,On your left side,Cat,0
Second,8,6,8,Right-handed,Left leg in first,On your left side,Cat,0
Third,8,5,6,Right-handed,Right leg in first,On your left side,Cat,0
First,4,1,7,Right-handed,Right leg in first,On your left side,Cat,0
Third,4,1,7,Right-handed,Right leg in first,On your left side,Cat,0
Second,4,3,7,Right-handed,Right leg in first,On your left side,Cat,0
First,8,3,7,Right-handed,Right leg in first,On your left side,Cat,0
Second,3,3,7.5,Right-handed,Right leg in first,On your left side,Cat,0
First,4,2,8,Right-handed,Right leg in first,On your left side,Cat,0
Third,9,5,4,Right-handed,I don't know,On your right side,Cat,0
Third,4,1,7,Right-handed,I don't know,On your right side,Cat,0
Second,5,4,7,Right-handed,I don't know,On your right side,Cat,0
First,5,5,7,Right-handed,I don't know,On your right side,Cat,0
First,8,10,9,Right-handed,I don't know,On your right side,Cat,0
First,2,6,12,Right-handed,I don't know,On your right side,Cat,0
Second,5,3,6,Right-handed,Left leg in first,On your right side,Cat,0
First,7,15,6,Right-handed,Left leg in first,On your right side,Cat,0
Third,1,0,7,Right-handed,Left leg in first,On your right side,Cat,0
Fifth or above,7,3,7,Right-handed,Left leg in first,On your right side,Cat,0
First,6,3,8,Right-handed,Left leg in first,On your right side,Cat,0
Third,2,1,9.5,Right-handed,Left leg in first,On your right side,Cat,0
Second,7,10,8,Left-handed,Right leg in first,On your right side,Cat,0
Fourth,7,5,5,Right-handed,Right leg in first,On your right side,Cat,0
Third,10,4,6,Right-handed,Right leg in first,On your right side,Cat,0
Second,5,1,7,Right-handed,Right leg in first,On your right side,Cat,0
Third,5,1,7,Right-handed,Right leg in first,On your right side,Cat,0
First,4,2,7,Right-handed,Right leg in first,On your right side,Cat,0
Fourth,7,4,7,Right-handed,Right leg in first,On your right side,Cat,0
Third,6,5,7,Right-handed,Right leg in first,On your right side,Cat,0
Second,4,3,7.5,Right-handed,Right leg in first,On your right side,Cat,0
First,3,5,8,Right-handed,Right leg in first,On your right side,Cat,0
Second,7,5,8,Right-handed,Right leg in first,On your right side,Cat,0
First year In Master's Degree,8,6,8,Right-handed,Right leg in first,On your right side,Cat,0
Second,7,6,8.5,Right-handed,Right leg in first,On your right side,Cat,0
Second,2,4,10,Right-handed,Right leg in first,On your right side,Cat,0
First,7,40,5,Right-handed,Left leg in first,On your stomach,Cat,0
Fourth,7,15,8,Right-handed,Left leg in first,On your stomach,Cat,0
