"","Name","ID","Lat","Lon","Stn.Name","Stn.stDate","Stn.edDate"
"1","Lander","USW00024021",42.8153,-108.7261,"LANDER WBO","1892-01-01","1946-05-28"
"2","Lander","USW00024021",42.8153,-108.7261,"LANDER HUNT FIELD","1946-05-29","2021-12-31"
"3","Cheyenne","USW00024018",41.1519,-104.8061,"CHEYENNE WBO","1871-01-01","1935-08-31"
"4","Cheyenne","USW00024018",41.1519,-104.8061,"CHEYENNE MUNICIPAL ARPT","1935-09-01","2021-12-31"
"5","Wausau","USW00014897",44.9258,-89.6256,"Wausau Record Herald","1896-01-01","1941-12-31"
"6","Wausau","USW00014897",44.9258,-89.6256,"Wausau Airport","1942-01-01","2021-12-31"
"7","Hayward","USW00094973",46.0261,-91.4442,"Hayward RS","1894-01-01","1998-03-31"
"8","Hayward","USW00094973",46.0261,-91.4442,"Hayward Muni AP","1998-04-01","2021-12-31"
"9","EauClaire","USW00014991",44.8664,-91.4878,"Eau Claire City","1893-01-01","1949-09-30"
"10","EauClaire","USW00014991",44.8664,-91.4878,"Eau Claire Chippewa Valley Regional Airport","1949-10-01","2021-12-31"
"11","Ashland","USW00094929",46.5486,-90.9189,"Ashland Exp Farm","1894-01-01","1998-10-13"
"12","Ashland","USW00094929",46.5486,-90.9189,"Ashland Kennedy Mem AP","1998-10-14","2021-12-31"
"13","Milwaukee","USW00014839",42.955,-87.9044,"MILWAUKEE WBO","1871-01-01","1941-02-28"
"14","Milwaukee","USW00014839",42.955,-87.9044,"MILWAUKEE MITCHELL INTL AP","1941-03-01","2021-12-31"
"15","Madison","USW00014837",43.1406,-89.3453,"MADISON WB CITY","1869-01-01","1946-12-31"
"16","Madison","USW00014837",43.1406,-89.3453,"MADISON DANE CO REGIONAL ARPT","1947-01-01","2021-12-31"
"17","LaCrosse","USW00014920",43.8789,-91.2528,"LA CROSSE","1873-01-01","1950-12-31"
"18","LaCrosse","USW00014920",43.8789,-91.2528,"LA CROSSE MUNICIPAL AP","1951-01-01","1985-09-30"
"19","LaCrosse","USW00014920",43.8789,-91.2528,"LA CROSSE","1985-10-01","1986-01-31"
"20","LaCrosse","USW00014920",43.8789,-91.2528,"LA CROSSE MUNICIPAL AP","1986-02-01","2021-12-31"
"21","GreenBay","USW00014898",44.4983,-88.1111,"GREEN BAY AUSTIN STRAUBEL INTL","1897-01-01","2021-12-31"
"22","Bluefield","USW00003859",37.2958,-81.2078,"Bluefield 2NW","1892-01-01","1959-08-31"
"23","Bluefield","USW00003859",37.2958,-81.2078,"Bluefield Mercer County Airport","1959-09-01","2021-12-31"
"24","Morgantown","USW00013736",39.6428,-79.9164,"Morgantown 1","1873-01-01","1946-07-31"
"25","Morgantown","USW00013736",39.6428,-79.9164,"Morgantown-Hart Field","1946-08-01","2021-12-31"
