"","Date","tmax","tmin","prcp"
"1",1896-01-01,66,30,0
"2",1896-01-02,64,30,0
"3",1896-01-03,68,30,0
"4",1896-01-04,69,34,0
"5",1896-01-05,70,46,0
"6",1896-01-06,67,34,0
"7",1896-01-07,71,30,0
"8",1896-01-08,72,35,0
"9",1896-01-09,78,35,0
"10",1896-01-10,72,41,0
"11",1896-01-11,75,42,0
"12",1896-01-12,68,38,0
"13",1896-01-13,70,41,0
"14",1896-01-14,67,42,0
"15",1896-01-15,67,38,0
"16",1896-01-16,66,45,0
"17",1896-01-17,69,44,0
"18",1896-01-18,68,46,0
"19",1896-01-19,72,45,0
"20",1896-01-20,72,44,0
"21",1896-01-21,71,45,0
"22",1896-01-22,70,46,0
"23",1896-01-23,68,38,0
"24",1896-01-24,68,37,0
"25",1896-01-25,72,37,0
"26",1896-01-26,75,39,0
"27",1896-01-27,68,42,0
"28",1896-01-28,67,42,0.01
"29",1896-01-29,53,44,0.45
"30",1896-01-30,62,36,0
"31",1896-01-31,61,38,0
"32",1896-02-01,65,38,0
"33",1896-02-02,63,36,0
"34",1896-02-03,61,42,0
"35",1896-02-04,57,41,0.05
"36",1896-02-05,58,32,0
"37",1896-02-06,57,31,0
"38",1896-02-07,57,33,0
"39",1896-02-08,60,28,0
"40",1896-02-09,68,29,0
"41",1896-02-10,67,35,0
"42",1896-02-11,67,44,0
"43",1896-02-12,63,42,0
"44",1896-02-13,68,34,0
"45",1896-02-14,72,35,0
"46",1896-02-15,80,44,0
"47",1896-02-16,78,47,0
"48",1896-02-17,80,41,0
"49",1896-02-18,78,44,0
"50",1896-02-19,75,55,0
"51",1896-02-20,74,45,0
"52",1896-02-21,73,55,0
"53",1896-02-22,73,46,0
"54",1896-02-23,76,43,0
"55",1896-02-24,76,51,0
"56",1896-02-25,77,43,0
"57",1896-02-26,77,43,0
"58",1896-02-27,82,43,0
"59",1896-02-28,82,42,0
"60",1896-02-29,76,51,0
"61",1896-03-01,60,54,0
"62",1896-03-02,61,46,0
"63",1896-03-03,68,37,0
"64",1896-03-04,54,42,0.33
"65",1896-03-05,54,39,0.05
"66",1896-03-06,58,34,0
"67",1896-03-07,69,34,0
"68",1896-03-08,78,40,0
"69",1896-03-09,70,46,0
"70",1896-03-10,73,49,0
"71",1896-03-11,76,39,0
"72",1896-03-12,81,44,0
"73",1896-03-13,83,47,0
"74",1896-03-14,80,53,0
"75",1896-03-15,79,52,0
"76",1896-03-16,80,50,0
"77",1896-03-17,82,51,0
"78",1896-03-18,81,49,0
"79",1896-03-19,87,44,0
"80",1896-03-20,87,48,0
"81",1896-03-21,82,52,0
"82",1896-03-22,84,59,0
"83",1896-03-23,89,54,0
"84",1896-03-24,90,59,0
"85",1896-03-25,92,58,0
"86",1896-03-26,88,63,0
"87",1896-03-27,75,58,0
"88",1896-03-28,68,58,0
"89",1896-03-29,72,47,0.01
"90",1896-03-30,77,46,0
"91",1896-03-31,70,49,0
"92",1896-04-01,75,38,0
"93",1896-04-02,78,56,0
"94",1896-04-03,83,53,0
"95",1896-04-04,81,50,0
"96",1896-04-05,84,50,0
"97",1896-04-06,86,50,0
"98",1896-04-07,84,54,0
"99",1896-04-08,84,52,0
"100",1896-04-09,89,56,0
"101",1896-04-10,65,56,0
"102",1896-04-11,64,43,0
"103",1896-04-12,74,44,0
"104",1896-04-13,80,48,0
"105",1896-04-14,83,51,0
"106",1896-04-15,82,53,0
"107",1896-04-16,71,48,0
"108",1896-04-17,65,40,0
"109",1896-04-18,70,38,0
"110",1896-04-19,79,44,0
