City,Year,Total Precipitation
Albuquerque,1960,8.12
Albuquerque,1961,8.87
Albuquerque,1962,5.39
Albuquerque,1963,7.47
Albuquerque,1964,7.44
Albuquerque,1965,9.31
Albuquerque,1966,6.81
Albuquerque,1967,8.04
Albuquerque,1968,10.67
Albuquerque,1969,10.56
Albuquerque,1970,6.28
Albuquerque,1971,8.05
Albuquerque,1972,10.11
Albuquerque,1973,10.88
Albuquerque,1974,9.83
Albuquerque,1975,8.01
Albuquerque,1976,5.19
Albuquerque,1977,7.91
Albuquerque,1978,10.97
Albuquerque,1979,10.35
Albuquerque,1980,8.87
Albuquerque,1981,7.66
Albuquerque,1982,7.41
Albuquerque,1983,7.76
Albuquerque,1984,12.08
Albuquerque,1985,10.75
Albuquerque,1986,12.98
Albuquerque,1987,8.34
Albuquerque,1988,13.11
Albuquerque,1989,4.99
Albuquerque,1990,10.25
Albuquerque,1991,11.59
Albuquerque,1992,12.08
Albuquerque,1993,9.03
Albuquerque,1994,11.15
Albuquerque,1995,5.68
Albuquerque,1996,9.75
Albuquerque,1997,12.36
Albuquerque,1998,9.83
Albuquerque,1999,8.29
Albuquerque,2000,8.24
Albuquerque,2001,6.5
Albuquerque,2002,6.39
Albuquerque,2003,6.35
Albuquerque,2004,11.8
Albuquerque,2005,11.42
Albuquerque,2006,13.06
Albuquerque,2007,10.21
Albuquerque,2008,8.35
Albuquerque,2009,6.67
Albuquerque,2010,8.96
Albuquerque,2011,4.72
Albuquerque,2012,5.46
Albuquerque,2013,9.32
Albuquerque,2014,8.81
Albuquerque,2015,11.49
Albuquerque,2016,6.68
Albuquerque,2017,7.67
Albuquerque,2018,8.72
Albuquerque,2019,8.78
Albuquerque,2020,5.88
Amarillo,1960,36.67
Amarillo,1961,22.44
Amarillo,1962,29.76
Amarillo,1963,17.3
Amarillo,1964,17.97
Amarillo,1965,20.09
Amarillo,1966,14.91
Amarillo,1967,16.85
Amarillo,1968,17.97
Amarillo,1969,22.55
Amarillo,1970,9.56
Amarillo,1971,23.04
Amarillo,1972,15.34
Amarillo,1973,18.05
Amarillo,1974,23.09
Amarillo,1975,21.08
Amarillo,1976,16.24
Amarillo,1977,19.18
Amarillo,1978,22.01
Amarillo,1979,20.46
Amarillo,1980,13.39
Amarillo,1981,21.0
Amarillo,1982,18.6
Amarillo,1983,14.98
Amarillo,1984,19.23
Amarillo,1985,22.4
Amarillo,1986,25.33
Amarillo,1987,22.02
Amarillo,1988,24.69
Amarillo,1989,19.55
Amarillo,1990,17.51
Amarillo,1991,15.92
Amarillo,1992,20.63
Amarillo,1993,18.32
Amarillo,1994,16.54
Amarillo,1995,18.33
Amarillo,1996,20.51
Amarillo,1997,24.95
Amarillo,1998,17.15
Amarillo,1999,26.98
Amarillo,2000,18.39
Amarillo,2001,18.69
Amarillo,2002,18.25
Amarillo,2003,13.42
Amarillo,2004,27.31
Amarillo,2005,15.0
Amarillo,2006,21.88
Amarillo,2007,22.5
Amarillo,2008,22.42
Amarillo,2009,21.15
Amarillo,2010,26.54
Amarillo,2011,7.01
Amarillo,2012,12.33
Amarillo,2013,15.2
Amarillo,2014,19.4
Amarillo,2015,34.63
Amarillo,2016,17.2
Amarillo,2017,26.48
Amarillo,2018,13.6
Amarillo,2019,25.88
Amarillo,2020,12.58
Bakersfield,1960,7.03
Bakersfield,1961,1.98
Bakersfield,1962,5.66
Bakersfield,1963,6.88
Bakersfield,1964,4.01
Bakersfield,1965,6.8
Bakersfield,1966,4.62
Bakersfield,1967,7.05
Bakersfield,1968,5.14
Bakersfield,1969,7.0
Bakersfield,1970,5.18
Bakersfield,1971,5.77
Bakersfield,1972,4.25
Bakersfield,1973,6.82
Bakersfield,1974,7.04
Bakersfield,1975,4.1
Bakersfield,1976,5.07
Bakersfield,1977,5.52
Bakersfield,1978,10.31
Bakersfield,1979,6.19
Bakersfield,1980,6.01
Bakersfield,1981,6.07
Bakersfield,1982,8.03
Bakersfield,1983,10.86
Bakersfield,1984,3.42
Bakersfield,1985,4.26
Bakersfield,1986,5.69
Bakersfield,1987,6.51
Bakersfield,1988,4.52
Bakersfield,1989,2.88
Bakersfield,1990,3.51
Bakersfield,1991,6.5
Bakersfield,1992,8.4
Bakersfield,1993,8.17
Bakersfield,1994,6.69
Bakersfield,1995,9.84
Bakersfield,1996,8.05
Bakersfield,1997,5.86
Bakersfield,1998,13.32
Bakersfield,1999,5.98
Bakersfield,2000,4.96
Bakersfield,2001,7.38
Bakersfield,2002,4.29
Bakersfield,2003,5.12
Bakersfield,2004,5.55
Bakersfield,2005,7.99
Bakersfield,2006,6.16
Bakersfield,2007,2.98
Bakersfield,2008,3.24
Bakersfield,2009,5.11
Bakersfield,2010,12.5
Bakersfield,2011,4.39
Bakersfield,2012,4.41
Bakersfield,2013,3.43
Bakersfield,2014,4.02
Bakersfield,2015,3.99
Bakersfield,2016,7.13
Bakersfield,2017,5.38
Bakersfield,2018,5.18
Bakersfield,2019,9.11
Bakersfield,2020,5.35
ColoradoSprings,1960,11.27
ColoradoSprings,1961,15.42
ColoradoSprings,1962,10.12
ColoradoSprings,1963,13.24
ColoradoSprings,1964,8.59
ColoradoSprings,1965,25.43
ColoradoSprings,1966,12.91
ColoradoSprings,1967,19.28
ColoradoSprings,1968,12.41
ColoradoSprings,1969,20.99
ColoradoSprings,1970,16.49
ColoradoSprings,1971,11.86
ColoradoSprings,1972,20.03
ColoradoSprings,1973,14.11
ColoradoSprings,1974,9.46
ColoradoSprings,1975,11.77
ColoradoSprings,1976,20.34
ColoradoSprings,1977,18.78
ColoradoSprings,1978,13.28
ColoradoSprings,1979,19.03
ColoradoSprings,1980,19.66
ColoradoSprings,1981,16.99
ColoradoSprings,1982,21.94
ColoradoSprings,1983,14.79
ColoradoSprings,1984,21.0
ColoradoSprings,1985,18.01
ColoradoSprings,1986,16.26
ColoradoSprings,1987,18.23
ColoradoSprings,1988,12.61
ColoradoSprings,1989,15.44
ColoradoSprings,1990,19.07
ColoradoSprings,1991,17.52
ColoradoSprings,1992,14.76
ColoradoSprings,1993,13.38
ColoradoSprings,1994,20.8
ColoradoSprings,1995,22.26
ColoradoSprings,1996,16.57
ColoradoSprings,1997,22.94
ColoradoSprings,1998,16.2
ColoradoSprings,1999,27.58
ColoradoSprings,2000,16.89
ColoradoSprings,2001,15.0
ColoradoSprings,2002,7.85
ColoradoSprings,2003,12.42
ColoradoSprings,2004,21.13
ColoradoSprings,2005,11.86
ColoradoSprings,2006,13.84
ColoradoSprings,2007,11.79
ColoradoSprings,2008,12.93
ColoradoSprings,2009,15.72
ColoradoSprings,2010,9.37
ColoradoSprings,2011,16.24
ColoradoSprings,2012,8.11
ColoradoSprings,2013,19.22
ColoradoSprings,2014,17.04
ColoradoSprings,2015,25.25
ColoradoSprings,2016,14.35
ColoradoSprings,2017,18.44
ColoradoSprings,2018,15.41
ColoradoSprings,2019,11.75
ColoradoSprings,2020,9.89
Denver,1960,14.98
Denver,1961,19.01
Denver,1962,8.45
Denver,1963,12.23
Denver,1964,10.14
Denver,1965,21.87
Denver,1966,10.81
Denver,1967,23.31
Denver,1968,12.13
Denver,1969,21.52
Denver,1970,13.73
Denver,1971,10.96
Denver,1972,16.87
Denver,1973,22.96
Denver,1974,14.03
Denver,1975,15.51
Denver,1976,13.41
Denver,1977,10.34
Denver,1978,11.7
Denver,1979,20.36
Denver,1980,13.67
Denver,1981,12.59
Denver,1982,14.45
Denver,1983,20.19
Denver,1984,16.49
Denver,1985,16.31
Denver,1986,12.09
Denver,1987,20.03
Denver,1988,14.96
Denver,1989,15.47
Denver,1990,16.69
Denver,1991,20.32
Denver,1992,15.68
Denver,1993,14.78
Denver,1994,11.0
Denver,1995,18.26
Denver,1996,10.39
Denver,1997,19.57
Denver,1998,15.93
Denver,1999,20.95
Denver,2000,14.42
Denver,2001,16.46
Denver,2002,7.48
Denver,2003,13.92
Denver,2004,14.66
Denver,2005,12.79
Denver,2006,8.64
Denver,2007,14.0
Denver,2008,10.18
Denver,2009,18.12
Denver,2010,12.86
Denver,2011,17.31
Denver,2012,10.11
Denver,2013,17.6
Denver,2014,18.77
Denver,2015,18.31
Denver,2016,11.85
Denver,2017,11.69
Denver,2018,8.53
Denver,2019,15.51
Denver,2020,8.74
Ely,1960,7.89
Ely,1961,7.29
Ely,1962,7.36
Ely,1963,11.14
Ely,1964,12.7
Ely,1965,10.77
Ely,1966,6.08
Ely,1967,14.73
Ely,1968,10.03
Ely,1969,11.45
Ely,1970,10.69
Ely,1971,9.42
